feature_name,description
A/V Control System- Button Panel,
A/V Control System- Touch Panel,
Apple TV,
Audio System,
Document Camera- PC Hover Solo 8,https://media.lib.jmu.edu/wp-content/uploads/2019/08/PC_HoverCam-Solo-8-USB-document-camera-2018_Flex-11.pdf
Instructor Console,
Laptop Connection- HDMI,
PC,
Projector,
Screen- Electric,
Screen- Manual,
Shure Ceiling Microphone,https://media.lib.jmu.edu/wp-content/uploads/2020/10/CTSMicandCameraGuide.pdf
Wireless Connection,
Wireless Microphone Sennheiser,https://media.lib.jmu.edu/wp-content/uploads/2020/08/Sennheiser-DW-Instruction-Sheet.pdf
